"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars","model"
"coa_tot_cited_by_total_l",4.30032349349397e-06,1.20990998104865e-05,0.355425077968759,0.722316320362148,-1.94307793501277e-05,2.80314263371156e-05,"arts","","Online news attention"
"coa_online_all_total_l",0.00434627648222012,0.0062683113473978,0.69337278277098,0.488172639744112,-0.0079483523390092,0.0166409053034494,"arts","","Online news attention"
"coa_twitter_total_l",-0.000714968890846513,0.00160077055321521,-0.446640456629135,0.655192939762351,-0.00385471079085682,0.00242477300916379,"arts","","Online news attention"
"as.factor(year)2014",-0.00770436623663768,0.0987142161006949,-0.0780471804464185,0.937799928985231,-0.201321846140614,0.185913113667339,"arts","","Online news attention"
"as.factor(year)2015",-0.080532348818852,0.128120077571947,-0.628569310486318,0.529717532126784,-0.331826311577755,0.170761613940051,"arts","","Online news attention"
"as.factor(year)2016",-0.119361475840745,0.15773685481436,-0.756712665414946,0.449329407061193,-0.428745610401288,0.190022658719798,"arts","","Online news attention"
"as.factor(year)2017",0.407570402103938,0.300520214380347,1.35621626300354,0.175214805070181,-0.181868169835611,0.997008974043488,"arts","","Online news attention"
"as.factor(year)2018",0.17887630738247,0.235721114204281,0.758847199523469,0.448051699026281,-0.283465692536112,0.641218307301053,"arts","","Online news attention"
"as.factor(year)2019",0.128870575686552,0.257395569109864,0.500671305773512,0.616668843351823,-0.3759835719538,0.633724723326904,"arts","","Online news attention"
"as.factor(year)2020",-0.384466014352107,0.302336503978419,-1.27164933540261,0.203675871256266,-0.977467045972193,0.208535017267979,"arts","","Online news attention"
"as.factor(year)2021",1.53445414410852,0.731152057725067,2.0986799228643,0.035995872009816,0.100376820342609,2.96853146787443,"arts","*","Online news attention"
"as.factor(year)2022",0.349504124363617,0.874984555241297,0.39944033556939,0.689620162623696,-1.36668540975486,2.06569365848209,"arts","","Online news attention"
"as.factor(year)2023",0.560581707740952,0.588578210780948,0.952433674017851,0.341015745775679,-0.593852115463938,1.71501553094584,"arts","","Online news attention"
"R^2",0.077,0.077,0.077,0.077,0.077,0.077,"arts",".","Online news attention"
