profile_id,hits_identified
PRS1241768,81
PRS1241771,34
PRS1241773,65
PRS1241775,3
PRS1241782,1680
PRS1241799,494
PRS1241800,8
PRS1241802,465
PRS1241808,11
PRS1241817,2
PRS1241824,163
PRS1241827,20
PRS1241833,150
PRS1241834,75
PRS1241837,6
PRS1241839,88
PRS1241840,98
PRS1241841,30
PRS1241843,3
PRS1241846,14
PRS1241848,93
PRS1241851,78
PRS1241855,97
PRS1241857,3
PRS1241860,67
PRS1241862,31
PRS1241868,156
PRS1241869,379
PRS1241870,9
PRS1241875,17
PRS1241877,30
PRS1241879,44
PRS1241880,117
PRS1241882,19
PRS1241884,55
PRS1241902,69
PRS1241905,373
PRS1241907,224
PRS1241909,5
PRS1241910,7
PRS1241911,8
PRS1241912,119
PRS1241913,7
PRS1241914,28
PRS1241915,1
PRS1241917,38
PRS1241923,8
PRS1241924,29
PRS1241925,53
PRS1241926,142
PRS1241927,0
PRS1241929,20
PRS1241933,64
PRS1241934,42
PRS1241937,15
PRS1241951,28
PRS1241956,58
PRS1241957,179
PRS1241965,0
PRS1241967,12
PRS1241972,3
PRS1241973,44
PRS1241976,1524
PRS1241986,38
PRS1242006,25
PRS1242007,5
PRS1242009,34
PRS1242014,36
PRS1242021,86
PRS1242022,134
PRS1242033,90
PRS1242035,0
PRS1242036,10
PRS1242039,57
PRS1242041,9
PRS1242042,18
PRS1242045,32
PRS1242047,38
PRS1242052,39
PRS1242068,5
PRS1242069,659
PRS1242072,5
PRS1242073,32
PRS1242077,111
PRS1242082,32
PRS1242091,52
PRS1242092,47
PRS1242094,0
PRS1242097,10
PRS1242105,15
PRS1242107,262
PRS1242110,26
PRS1242111,19
PRS1242112,5
PRS1242120,17
PRS1242130,20
PRS1242132,42
PRS1242139,97
PRS1242148,32
PRS1242154,59
PRS1242155,26
PRS1242159,6
PRS1242162,313
PRS1242164,82
PRS1242168,2
PRS1242176,815
PRS1242185,72
PRS1242187,1103
PRS1242188,13
PRS1242189,45
PRS1242192,95
PRS1242197,92
PRS1242198,40
PRS1242203,20
PRS1242206,53
PRS1242207,22
PRS1242209,4
PRS1242213,53
PRS1242220,17
PRS1242222,23
PRS1242227,10
PRS1242234,0
PRS1242235,11
PRS1242237,19
PRS1242238,105
PRS1242241,29
PRS1242243,0
PRS1242246,54
PRS1242247,1
PRS1242249,61
PRS1242257,25
PRS1242263,83
PRS1242267,8
PRS1242270,134
PRS1242272,7
PRS1242278,134
PRS1242280,0
PRS1242282,484
PRS1242283,31
PRS1242288,2
PRS1242295,3
PRS1242297,0
PRS1242298,10
PRS1242299,30
PRS1242302,62
PRS1242303,205
PRS1242306,13
PRS1242308,35
PRS1242316,24
PRS1242321,51
PRS1242322,17
PRS1242323,1879
PRS1242324,1069
PRS1242325,1210
PRS1242326,8
PRS1242335,13
PRS1242340,2
PRS1242341,73
PRS1242342,108
PRS1242345,15
PRS1242355,14
PRS1242361,11
PRS1242367,2
PRS1242369,9
PRS1242386,143
PRS1242400,243
PRS1242401,766
PRS1242404,9
PRS1242405,31
PRS1242408,9
PRS1242409,6
PRS1242413,96
PRS1242414,52
PRS1242416,145
PRS1242418,1336
PRS1242421,83
PRS1242424,19
PRS1242426,32
PRS1242430,8
PRS1242433,169
PRS1242438,10
PRS1242439,388
PRS1242451,23
PRS1242466,101
PRS1242469,326
PRS1242470,69
PRS1242477,376
PRS1242480,7
PRS1242487,34
PRS1242489,49
PRS1242492,2
PRS1242497,8
PRS1242505,16
PRS1242507,154
PRS1242510,352
PRS1242512,119
PRS1242525,25
PRS1242533,165
PRS1242542,450
PRS1242545,27
PRS1242557,9
PRS1242558,80
PRS1242564,4
PRS1242569,191
PRS1242576,14
PRS1242579,93
PRS1242588,9
PRS1242589,34
PRS1242594,106
PRS1242600,83
PRS1242602,381
PRS1242603,144
PRS1242608,17
PRS1242610,139
