id,year,count_pubs,cited_by,count_pubs_auth,cited_by_auth
https://openalex.org/A5001452511,2022,11,6622,11,23875
https://openalex.org/A5001452511,2023,79,6558,79,24370
https://openalex.org/A5001475570,2012,14,42,14,43
https://openalex.org/A5001475570,2013,2,29,2,30
https://openalex.org/A5001475570,2014,4,22,4,22
https://openalex.org/A5001475570,2015,2,23,2,23
https://openalex.org/A5001475570,2016,5,23,6,25
https://openalex.org/A5001475570,2017,7,19,7,19
https://openalex.org/A5001475570,2018,3,21,3,22
https://openalex.org/A5001475570,2019,1,20,1,21
https://openalex.org/A5001475570,2020,5,27,5,27
https://openalex.org/A5001475570,2022,3,16,3,16
https://openalex.org/A5001475570,2023,1,53,1,53
https://openalex.org/A5001577619,2012,7,176,8,181
https://openalex.org/A5001577619,2013,4,181,4,181
https://openalex.org/A5001577619,2014,2,156,2,156
https://openalex.org/A5001577619,2015,3,172,3,180
https://openalex.org/A5001577619,2016,13,143,13,149
https://openalex.org/A5001577619,2017,9,149,9,150
https://openalex.org/A5001577619,2018,8,135,8,137
https://openalex.org/A5001577619,2019,11,124,11,125
https://openalex.org/A5001577619,2020,11,125,11,128
https://openalex.org/A5001577619,2021,11,97,11,97
https://openalex.org/A5001577619,2022,15,108,15,115
https://openalex.org/A5001577619,2023,14,128,14,135
https://openalex.org/A5001793586,2012,10,52,10,53
https://openalex.org/A5001793586,2013,11,48,11,49
https://openalex.org/A5001793586,2014,10,45,10,50
https://openalex.org/A5001793586,2015,6,78,6,88
https://openalex.org/A5001793586,2016,6,76,6,80
https://openalex.org/A5001793586,2017,6,77,6,80
https://openalex.org/A5001793586,2018,6,96,6,104
https://openalex.org/A5001793586,2019,5,91,5,100
https://openalex.org/A5001793586,2020,12,140,12,165
https://openalex.org/A5001793586,2021,3,189,3,229
https://openalex.org/A5001793586,2022,2,196,2,245
https://openalex.org/A5001793586,2023,7,207,7,263
https://openalex.org/A5001844600,2014,4,2,4,2
https://openalex.org/A5001844600,2017,17,3,17,3
https://openalex.org/A5001844600,2019,3,1,3,1
https://openalex.org/A5001844600,2020,1,13,1,13
https://openalex.org/A5001844600,2021,3,3,3,3
https://openalex.org/A5001844600,2022,2,8,2,8
https://openalex.org/A5001844600,2023,1,5,1,5
https://openalex.org/A5001867445,2013,1,6,2,6
https://openalex.org/A5001894450,2012,3,669,3,843
https://openalex.org/A5001894450,2013,4,598,5,739
https://openalex.org/A5001894450,2014,1,584,2,738
https://openalex.org/A5001894450,2015,10,489,10,600
https://openalex.org/A5001894450,2016,7,685,7,823
https://openalex.org/A5001894450,2017,36,600,37,748
https://openalex.org/A5001894450,2018,10,598,10,814
https://openalex.org/A5001894450,2019,5,625,5,952
https://openalex.org/A5001894450,2020,11,745,11,1251
https://openalex.org/A5001894450,2021,8,890,8,1632
https://openalex.org/A5001894450,2022,12,811,13,1428
https://openalex.org/A5001894450,2023,9,657,9,1300
https://openalex.org/A5001954826,2012,5,97,5,157
https://openalex.org/A5001954826,2014,9,121,9,179
https://openalex.org/A5001954826,2015,7,238,9,400
https://openalex.org/A5001954826,2016,8,427,8,789
https://openalex.org/A5001954826,2017,9,581,9,1109
https://openalex.org/A5001954826,2018,2,769,2,1487
https://openalex.org/A5001954826,2019,6,988,6,1936
https://openalex.org/A5001954826,2020,10,1126,10,2194
