id,works_count,cited_by_count
https://openalex.org/A5014884826,1,0
https://openalex.org/A5065884665,1,1
https://openalex.org/A5075428617,1,11
https://openalex.org/A5089800805,1,5
https://openalex.org/A5058286546,1093,42232
https://openalex.org/A5011041797,650,46014
https://openalex.org/A5087945700,510,29778
https://openalex.org/A5075929639,493,5329
https://openalex.org/A5057707415,489,22883
https://openalex.org/A5000192723,478,68309
https://openalex.org/A5056697556,448,14581
https://openalex.org/A5080483177,397,4122
https://openalex.org/A5008287871,383,11242
https://openalex.org/A5067709966,375,15486
https://openalex.org/A5050911754,363,17301
https://openalex.org/A5014650840,356,15922
https://openalex.org/A5068549255,344,20543
https://openalex.org/A5026522986,341,24795
https://openalex.org/A5069611685,332,17917
https://openalex.org/A5082289599,319,2499
https://openalex.org/A5006246608,314,10661
https://openalex.org/A5035799603,312,2631
https://openalex.org/A5047573361,274,14553
https://openalex.org/A5055119533,270,27664
https://openalex.org/A5056551664,264,21529
https://openalex.org/A5017386457,252,208
https://openalex.org/A5025728702,235,4257
https://openalex.org/A5087786209,203,3386
https://openalex.org/A5021198040,201,9169
https://openalex.org/A5084516593,184,4575
https://openalex.org/A5086076498,173,13961
https://openalex.org/A5046168437,166,5584
https://openalex.org/A5007031706,165,1558
https://openalex.org/A5087739433,155,5225
https://openalex.org/A5018810337,146,2064
https://openalex.org/A5047857456,146,1145
https://openalex.org/A5080725897,143,2029
https://openalex.org/A5009663049,140,2448
https://openalex.org/A5003979246,125,3204
https://openalex.org/A5055125107,105,696
https://openalex.org/A5023928900,97,2884
https://openalex.org/A5035064182,82,1904
https://openalex.org/A5011855255,81,270
https://openalex.org/A5088934405,78,1455
https://openalex.org/A5028660689,73,261
https://openalex.org/A5090850419,64,3782
https://openalex.org/A5085209351,31,428
https://openalex.org/A5054452460,25,430
https://openalex.org/A5048247123,18,19
https://openalex.org/A5004198855,8,28
https://openalex.org/A5019330099,7,78
https://openalex.org/A5025661374,2,4
https://openalex.org/A5027662053,2,2
https://openalex.org/A5091809634,1,0
https://openalex.org/A5016752835,811,11218
https://openalex.org/A5060302039,741,22334
https://openalex.org/A5064747549,634,25825
https://openalex.org/A5030485933,620,52604
https://openalex.org/A5035402438,557,12101
https://openalex.org/A5077202688,544,3292
https://openalex.org/A5085703430,525,2931
https://openalex.org/A5061134711,506,17464
https://openalex.org/A5020130906,501,27959
https://openalex.org/A5012791912,497,24241
https://openalex.org/A5051420645,496,33141
https://openalex.org/A5041021335,457,14678
https://openalex.org/A5089540563,444,1973
https://openalex.org/A5052209499,436,51329
https://openalex.org/A5009189202,396,14203
https://openalex.org/A5080323873,392,23783
https://openalex.org/A5003090623,370,10906
https://openalex.org/A5076972795,328,1731
https://openalex.org/A5031777511,321,4201
https://openalex.org/A5086832223,304,2937
https://openalex.org/A5047720335,297,10728
https://openalex.org/A5064320341,280,602
https://openalex.org/A5040435845,277,14082
https://openalex.org/A5032679645,231,5026
https://openalex.org/A5038495904,231,2983
https://openalex.org/A5025713059,185,1423
https://openalex.org/A5042420561,182,5307
https://openalex.org/A5030612896,169,1552
https://openalex.org/A5032719094,169,10175
https://openalex.org/A5016144406,155,2286
https://openalex.org/A5030977100,155,3880
https://openalex.org/A5049897536,146,196
https://openalex.org/A5082681577,142,361
https://openalex.org/A5061115953,124,1424
https://openalex.org/A5001954826,114,9988
https://openalex.org/A5061288005,109,835
https://openalex.org/A5079867511,105,909
https://openalex.org/A5078821565,86,47
https://openalex.org/A5023635291,83,2951
https://openalex.org/A5036772586,69,179
https://openalex.org/A5021072291,60,1335
https://openalex.org/A5064527891,54,2751
https://openalex.org/A5067822065,54,422
https://openalex.org/A5069698338,40,7
https://openalex.org/A5000251274,39,1608
https://openalex.org/A5037311609,21,366
https://openalex.org/A5051806694,16,187
https://openalex.org/A5051821615,6,883
https://openalex.org/A5033277634,5,9
https://openalex.org/A5043109570,1,14
https://openalex.org/A5031487360,1286,70109
https://openalex.org/A5042870843,869,40896
https://openalex.org/A5088103668,758,20665
https://openalex.org/A5081531461,699,47198
https://openalex.org/A5069762894,659,50999
https://openalex.org/A5036422165,658,35423
https://openalex.org/A5016904876,647,38078
https://openalex.org/A5081345037,647,13002
https://openalex.org/A5030601121,623,34547
https://openalex.org/A5012915432,537,5213
https://openalex.org/A5030322036,526,8031
https://openalex.org/A5003345289,490,4089
https://openalex.org/A5045182133,477,5008
https://openalex.org/A5089042997,428,7433
https://openalex.org/A5002880106,410,5007
https://openalex.org/A5048457641,410,17291
https://openalex.org/A5018472151,365,3623
https://openalex.org/A5031138348,353,3711
https://openalex.org/A5071855153,331,2619
https://openalex.org/A5007590595,295,12291
https://openalex.org/A5087614381,272,3910
https://openalex.org/A5042792515,262,9155
https://openalex.org/A5064094888,255,8718
https://openalex.org/A5043547836,250,5193
https://openalex.org/A5050601421,230,3827
https://openalex.org/A5072578259,224,4153
https://openalex.org/A5021970332,218,8871
https://openalex.org/A5061330788,217,5386
https://openalex.org/A5057808566,209,6618
https://openalex.org/A5077086411,207,17199
https://openalex.org/A5036570793,195,11508
https://openalex.org/A5072361386,190,250
https://openalex.org/A5028526502,179,2416
https://openalex.org/A5075474740,150,889
https://openalex.org/A5057459338,145,5103
https://openalex.org/A5073678019,129,1996
https://openalex.org/A5047228466,118,2519
https://openalex.org/A5062934142,116,2280
https://openalex.org/A5030371220,105,1826
https://openalex.org/A5003721509,82,2424
https://openalex.org/A5086339802,49,165
https://openalex.org/A5054923442,31,1480
https://openalex.org/A5069838406,30,3
https://openalex.org/A5088178296,13,444
https://openalex.org/A5001061074,7,188
https://openalex.org/A5028452342,3,4
https://openalex.org/A5073066493,3,103
https://openalex.org/A5011667870,1,0
https://openalex.org/A5052432635,1,0
https://openalex.org/A5013271839,642,50585
https://openalex.org/A5062101644,606,57778
https://openalex.org/A5062646838,587,16077
https://openalex.org/A5063135330,583,19426
https://openalex.org/A5049300920,535,25382
https://openalex.org/A5045054843,496,84776
https://openalex.org/A5059840812,486,28667
https://openalex.org/A5079226834,476,25772
https://openalex.org/A5077783081,451,12395
https://openalex.org/A5089122612,359,9614
https://openalex.org/A5023651872,273,7580
https://openalex.org/A5058118823,267,11567
https://openalex.org/A5025069484,249,7290
https://openalex.org/A5065440033,209,4911
https://openalex.org/A5004328147,206,10456
https://openalex.org/A5075867983,199,3819
https://openalex.org/A5002997012,196,8778
https://openalex.org/A5035053480,195,3411
https://openalex.org/A5056707586,163,1135
https://openalex.org/A5035535281,159,2132
https://openalex.org/A5005759004,149,6395
https://openalex.org/A5027295734,147,1518
https://openalex.org/A5080244336,143,863
https://openalex.org/A5014564304,131,722
https://openalex.org/A5078629755,128,1635
https://openalex.org/A5010921821,119,4148
https://openalex.org/A5008271840,112,62
https://openalex.org/A5086275210,107,3
https://openalex.org/A5024873400,106,361
https://openalex.org/A5001325880,104,650
https://openalex.org/A5060148168,102,234
https://openalex.org/A5001139499,85,1424
https://openalex.org/A5039008356,85,904
https://openalex.org/A5010247211,76,979
https://openalex.org/A5015906738,76,1178
https://openalex.org/A5008174194,72,1207
https://openalex.org/A5042446154,62,4350
https://openalex.org/A5043029388,62,117
https://openalex.org/A5005799385,61,2991
https://openalex.org/A5000986629,59,507
https://openalex.org/A5039357672,57,875
https://openalex.org/A5009741290,44,447
https://openalex.org/A5022364392,25,16
https://openalex.org/A5033963728,15,278
https://openalex.org/A5004688840,13,0
https://openalex.org/A5022938984,13,488
https://openalex.org/A5053986498,5,0
https://openalex.org/A5075469232,5,4
https://openalex.org/A5063750224,2,0
https://openalex.org/A5066010665,1538,42270
https://openalex.org/A5032174537,737,25920
https://openalex.org/A5052567343,551,1482
https://openalex.org/A5091529331,410,9773
https://openalex.org/A5023940180,398,25226
https://openalex.org/A5032732528,397,11269
https://openalex.org/A5052833261,373,9229
https://openalex.org/A5026297209,372,4302
https://openalex.org/A5073784823,302,5208
https://openalex.org/A5063457780,292,20531
https://openalex.org/A5045235248,290,4366
https://openalex.org/A5065114159,286,9687
https://openalex.org/A5034532818,250,4908
https://openalex.org/A5049950975,247,1704
https://openalex.org/A5061886482,247,13994
https://openalex.org/A5003143750,239,8731
https://openalex.org/A5055008890,233,12302
